Dataset 1,Mean,Median,StDev,25th,75th,Min,Max
Time
000000,0.4127254295349121
100000,0.1059043025970459
010000,1.0876214218139648
001000,28.619593725204467
000100,2.4792909240722656
000010,0.22584786415100097
000001,0.5254555702209472
Accuracy
000000,0.7040643274853801,0.6993464052287581,0.05141584790159706,0.673202614379085,0.738562091503268,0.5882352941176471,0.7973856209150327
100000,0.6340677674578603,0.6470588235294118,0.07909021452881375,0.6118421052631579,0.6842105263157895,0.37254901960784315,0.7581699346405228
010000,0.6930202958376331,0.6797385620915033,0.04132855725245809,0.6601307189542484,0.738562091503268,0.6274509803921569,0.7712418300653595
001000,0.7037616099071208,0.6973684210526315,0.057327842665598504,0.673202614379085,0.7368421052631579,0.5816993464052288,0.803921568627451
000100,0.6961833505331957,0.6907894736842105,0.03639812317370156,0.6710526315789473,0.7171052631578947,0.6339869281045751,0.7712418300653595
000010,0.6964327485380116,0.6862745098039216,0.05540164755115809,0.6644736842105263,0.743421052631579,0.5751633986928104,0.8104575163398693
000001,0.707220502235982,0.7105263157894737,0.05255702666570588,0.6578947368421053,0.756578947368421,0.5947712418300654,0.7843137254901961
Precision
000000,0.6420220900948114,0.627906976744186,0.13077836179494037,0.5833333333333334,0.6842105263157895,0.3333333333333333,1.0
100000,0.4720444820221815,0.53125,0.12313811572250806,0.4262295081967213,0.5555555555555556,0.2,0.6904761904761905
010000,0.5281391064459139,0.5675675675675675,0.1774736556080987,0.5405405405405406,0.6271186440677966,0,0.7567567567567568
001000,0.6611466395868812,0.6896551724137931,0.2440426351165012,0.5846153846153846,0.8181818181818182,0,1.0
000100,0.47756198455564247,0.5857142857142857,0.2541573740842318,0.5443037974683544,0.6176470588235294,0,0.7241379310344828
000010,0.5809875858744449,0.5932203389830508,0.28419062608726164,0.5172413793103449,0.7619047619047619,0.0,1.0
000001,0.6361660383768012,0.6410256410256411,0.16942117741119658,0.5737704918032787,0.6888888888888889,0,1.0
FalseAlarm
000000,0.13367279874569105,0.10101010101010101,0.11525070713059625,0.034782608695652174,0.23157894736842105,0.0,0.3333333333333333
100000,0.3158684845524123,0.33707865168539325,0.16005876220395138,0.2,0.3838383838383838,0.021052631578947368,0.6956521739130435
010000,0.15710098802542172,0.16853932584269662,0.10240424774015251,0.07368421052631578,0.21212121212121213,0,0.3595505617977528
001000,0.12221460848164883,0.05217391304347826,0.14336111426359666,0.017391304347826087,0.2247191011235955,0.0,0.4842105263157895
000100,0.16520789204881456,0.1368421052631579,0.13442616426795484,0.030303030303030304,0.29213483146067415,0,0.4157303370786517
000010,0.125593509465363,0.0449438202247191,0.14238238745559723,0.017391304347826087,0.20202020202020202,0.0,0.42424242424242425
000001,0.11031030226155313,0.11235955056179775,0.07443707786071109,0.042105263157894736,0.14782608695652175,0.0,0.26262626262626265
Recall
000000,0.3847859658317702,0.34210526315789475,0.2556434998748805,0.17543859649122806,0.660377358490566,0.015625,0.8113207547169812
100000,0.5263251222921034,0.5471698113207547,0.22382607395755388,0.42105263157894735,0.7017543859649122,0.017543859649122806,0.8148148148148148
010000,0.3860415517304792,0.421875,0.22693454244310488,0.22641509433962265,0.578125,0,0.8148148148148148
001000,0.36177146548236416,0.25925925925925924,0.27127539443780263,0.17543859649122806,0.609375,0,0.8421052631578947
000100,0.4000479283901578,0.3888888888888889,0.2941440839338528,0.1111111111111111,0.65625,0,0.8490566037735849
000010,0.33930642907058,0.25925925925925924,0.28238571834861553,0.05263157894736842,0.53125,0.0,0.8490566037735849
000001,0.3579316773327449,0.390625,0.19520406668197993,0.21052631578947367,0.4716981132075472,0,0.6842105263157895
