Dataset 4,Mean,Median,StDev,25th,75th,Min,Max,T Test
Time
000000,0.31907125473022463
100000,0.03955187797546387
010000,0.9062257862091064
001000,17.848032464981078
000100,1.5744697666168213
000010,0.12187585830688477
000001,0.3399194145202637
Accuracy
000000,0.9755102040816328,1.0,0.037607728550163234,0.9693877551020408,1.0,0.8673469387755102,1.0
100000,0.9710204081632654,1.0,0.047193188081008884,0.9693877551020408,1.0,0.826530612244898,1.0
010000,0.9775510204081634,1.0,0.03253592937025338,0.9693877551020408,1.0,0.9183673469387755,1.0
001000,0.9779591836734695,1.0,0.03181863256512748,0.9693877551020408,1.0,0.9183673469387755,1.0
000100,0.963265306122449,1.0,0.06248698323426474,0.9693877551020408,1.0,0.8163265306122449,1.0
000010,0.9775510204081634,1.0,0.03253592937025338,0.9693877551020408,1.0,0.9183673469387755,1.0
000001,0.9738775510204083,1.0,0.042998632653921676,0.9693877551020408,1.0,0.826530612244898,1.0
Precision
000000,0.20276643990929707,0,0.39370516072314976,0.0,0.0,0,0.9693877551020408
100000,0.2514599686028257,0,0.39223978904714857,0.0,0.42857142857142855,0,0.9693877551020408
010000,0.19387755102040816,0,0.39575089381701006,0.0,0.0,0,0.9693877551020408
001000,0.23387755102040814,0,0.4248085537885606,0.0,0.0,0,1.0
000100,0.21324568288854004,0,0.38949503202129326,0.0,0.15384615384615385,0,0.9693877551020408
000010,0.19387755102040816,0,0.39575089381701006,0.0,0.0,0,0.9693877551020408
000001,0.2000313971742543,0,0.39380186120767097,0.0,0.0,0,0.9693877551020408
FalseAlarm
000000,0.2031111111111111,0,0.40695496763034156,0.0,0.0,0,1.0
100000,0.21599999999999997,0,0.40168216250013133,0.0,0.08888888888888889,0,1.0
010000,0.2,0,0.408248290463863,0.0,0.0,0,1.0
001000,0.2,0,0.408248290463863,0.0,0.0,0,1.0
000100,0.21866666666666668,0,0.4010623752068802,0.0,0.13333333333333333,0,1.0
000010,0.2,0,0.408248290463863,0.0,0.0,0,1.0
000001,0.20488888888888887,0,0.4064814392980658,0.0,0.0,0,1.0
Recall
000000,0.21,0,0.406201920231798,0.0,0.0,0,1.0
100000,0.3,0,0.4330127018922193,0.0,0.75,0,1.0
010000,0.2,0,0.408248290463863,0.0,0.0,0,1.0
001000,0.205,0,0.40645827994190664,0.0,0.0,0,1.0
000100,0.235,0,0.40233692348577704,0.0,0.25,0,1.0
000010,0.2,0,0.408248290463863,0.0,0.0,0,1.0
000001,0.21,0,0.406201920231798,0.0,0.0,0,1.0
